entrytype , typeversion , key                      , name                         , xpath                                    , sort , important , xhtml
audio     , 1.2         , id                       , Project Archive ID           , @id                                      , 8    , TRUE      , FALSE
audio     , 1.2         , revision                 , Revision                     , @revision                                , 9    , TRUE      , FALSE
audio     , 1.2         , typeVersion              , Bundle Type Version          , @typeVersion                             , 10   , TRUE      , FALSE
audio     , 1.2         , nameCommon               , Common Version Name          , identification/name                      , 3    , TRUE      , FALSE
audio     , 1.2         , nameCommonLocal          , Common Version Name Local    , identification/nameLocal                 , 999  , FALSE     , FALSE
audio     , 1.2         , description              , Description                  , identification/description               , 999  , FALSE     , FALSE
audio     , 1.2         , dateCompleted            , Completion Date              , identification/dateCompleted             , 4    , TRUE      , FALSE
audio     , 1.2         , bundleProducer           , Bundle Producer              , identification/bundleProducer            , 999  , FALSE     , FALSE
text      , 1.4         , agencyTranslation        , Translation Agencies         , agencies/contributor[@content='true']    , 999  , FALSE     , FALSE
text      , 1.4         , agencyPublishing         , Publication Agencies         , agencies/contributor[@publisher='true']  , 999  , FALSE     , FALSE
text      , 1.4         , agencyManagement         , Management Agencies          , agencies/contributor[@management='true'] , 999  , FALSE     , FALSE
text      , 1.4         , agencyFinance            , Finance Agencies             , agencies/contributor[@finance='true']    , 999  , FALSE     , FALSE
text      , 1.4         , agencyQualityControl     , Quality Control Agencies     , agencies/contributor[@qa='true']         , 999  , FALSE     , FALSE
audio     , 1.2         , rightsHolder             , Rights Holder Name           , agencies/rightsHolder                    , 5    , TRUE      , FALSE
audio     , 1.2         , rightsHolderLocal        , Rights Holder Name Local     , agencies/rightsHolder/@local             , 999  , FALSE     , FALSE
audio     , 1.2         , rightsHolderAbbreviation , Rights Holder Abbreviation   , agencies/rightsHolder/@abbr              , 999  , FALSE     , FALSE
audio     , 1.2         , rightsHolderURL          , Rights Holder URL            , agencies/rightsHolder/@url               , 999  , FALSE     , FALSE
audio     , 1.2         , rightsAdmin              , Rights Administrator Name    , agencies/rightsAdmin                     , 999  , TRUE      , FALSE
audio     , 1.3         , languageCode             , Language Code                , language/iso                             , 2    , TRUE      , FALSE
audio     , 1.3         , languageName             , Language Name                , language/name                            , 1    , TRUE      , FALSE
audio     , 1.2         , audioType                , Audio Type                   , type/audioType                           , 999  , FALSE     , FALSE
audio     , 1.2         , pubPromoVersionInfo      , Promotion Version Info       , promotion/promoVersionInfo               , 999  , FALSE     , TRUE
audio     , 1.2         , archivist                , Archivist                    , archiveStatus/archivistName              , 999  , FALSE     , FALSE
audio     , 1.2         , dateArchived             , Original Archive Date        , archiveStatus/dateArchived               , 999  , FALSE     , FALSE
audio     , 1.2         , dateUpdated              , Last Archive Date            , archiveStatus/dateUpdated                , 6    , TRUE      , FALSE
audio     , 1.2         , comments                 , Comments                     , archiveStatus/comments                   , 7    , TRUE      , FALSE
audio     , 1.2         , copyrightStatement       , Rights Information Statement , copyright/statement                      , 999  , FALSE     , TRUE
audio     , 1.2         , languageLDMLId           , Unicode LDML Language ID     , language/ldml                            , 999  , FALSE     , FALSE
