key,name,xpath,sort,important,xhtml,entrytype,bundleversion,,,,
uid,Project,Archive,UID,identification/systemId[@type='dbl'],15,True,False,project,1.1,,
nameCommon,Common,Version,Name,identification/name,5,True,False,project,1.1,,
nameCommonLocal,Common,Version,Name,Local,identification/nameLocal,999,False,False,project,1.1,
nameAbbreviation,Version,Abbreviation,identification/abbreviation,6,True,False,project,1.1,,,
nameAbbreviationLocal,Version,Abbreviation,Local,identification/abbreviationLocal,999,False,False,project,1.1,,
scope,Scope,identification/scope,7,True,False,project,1.1,,,,
description,Description,identification/description,999,False,False,project,1.1,,,,
dateCompleted,Completion,Date,identification/dateCompleted,8,True,False,project,1.1,,,
idTMS,TMS,Project,Id,identification/systemId[@type='tms'],999,False,False,project,1.1,,
idSIL,SIL,Project,Id,identification/systemId[@type='reap'],999,False,False,project,1.1,,
idParatext,Paratext,GUID,identification/systemId[@type='paratext'],999,False,False,project,1.1,,,
isResource,Is,Paratext,Resource?,identification/isResource,999,False,False,project,1.1,,
bundleVersion,Bundle,Version,identification/bundleVersion,16,True,False,project,1.1,,,
bundleProducer,Bundle,Producer,identification/bundleProducer,999,False,False,project,1.1,,,
confidential,Confidential,Project,confidential,999,False,False,project,1.1,,,
agencyETEN,ETEN,Partner,Agency,agencies/etenPartner,9,True,False,project,1.1,,
agencyTranslation,Translation,Agency,agencies/translation,999,False,False,project,1.1,,,
agencyPublishing,Publishing,Agency,agencies/publishing,999,False,False,project,1.1,,,
languageCode,Language,Code,language/iso,2,True,False,project,1.1,,,
languageName,Language,Name,language/name,1,True,False,project,1.1,,,
languageScript,Script,language/script,3,True,False,project,1.1,,,,
languageScriptDirection,Script,Direction,language/scriptDirection,999,False,False,project,1.1,,,
countryCode,Country,Code,country/iso,999,False,False,project,1.1,,,
countryName,Country,Name,country/name,4,True,False,project,1.1,,,
translationType,Translation,Type,translation/type,999,False,False,project,1.1,,,
languageLevel,Language,Level,translation/level,999,False,False,project,1.1,,,
contents,Books,in,Publication,Order,"contents/bookList[@id=""default""]",999,False,False,project,1.1,
progress,Project,Progress,progress,999,False,False,project,1.1,,,
validatedMarkers,Markers,Validated,Successfully,checking/validatedMarkers,999,False,False,project,1.1,,
validatedVerses,Chapters/Verses,Validated,Successfully,checking/validatedVerses,999,False,False,project,1.1,,
rightsHolder,Rights,Holder,Name,contact/rightsHolder,10,True,False,project,1.1,,
rightsHolderLocal,Rights,Holder,Name,Local,contact/rightsHolderLocal,999,False,False,project,1.1,
rightsHolderAbbreviation,Rights,Holder,Abbreviation,contact/rightsHolderAbbreviation,999,False,False,project,1.1,,
rightsHolderURL,Rights,Holder,URL,contact/rightsHolderURL,999,False,False,project,1.1,,
rightsHolderFacebook,Rights,Holder,Facebook,Page,contact/rightsHolderFacebook,999,False,False,project,1.1,
pubLicenseDate,DBL,Publishing,License,Date,rights/dateLicense,11,True,False,project,1.1,
pubLicenseDateExpiry,DBL,Publishing,License,Expiry,Date,rights/dateLicenseExpiry,12,True,False,project,1.1
rightsInfo,Rights,Information,Statement,rights/rightsStatement,999,False,True,project,1.1,,
pubAllowOffline,Allow,Offline,Display,rights/publicationRights/allowOffline,999,False,False,project,1.1,,
pubAllowAudio,Allow,Audio,rights/publicationRights/allowAudio,999,False,False,project,1.1,,,
pubAllowNewPublishers,Allow,New,DBL,Publishers,rights/publicationRights/allowNewPublishers,999,False,False,project,1.1,
pubDenyPlatforms,Deny,Publishing,To,Platforms,rights/publicationRights/denyPlatforms/platform,999,False,False,project,1.1,
pubExchangeLicenseFCBH,Allow,License,Exchange,With,FCBH,rights/publicationRights/exchangeLicenseFCBH,999,False,False,project,1.1
pubPromoVersionInfo,Promotion,Version,Info,promotion/promoVersionInfo,999,False,True,project,1.1,,
pubPromoEmail,Promotion,Email,Message,promotion/promoEmail,999,False,False,project,1.1,,
archivist,Archivist,archiveStatus/archivistName,999,False,False,project,1.1,,,,
dateArchived,Original,Archive,Date,archiveStatus/dateArchived,999,False,False,project,1.1,,
dateUpdated,Last,Archive,Date,archiveStatus/dateUpdated,13,True,False,project,1.1,,
comments,Comments,archiveStatus/comments,14,True,False,project,1.1,,,,
pubAllowFootnotes,Allow,Standard,Footnotes,rights/publicationRights/allowFootnotes,999,False,False,project,1.1,,
pubAllowCrossReferences,Allow,Standard,Cross,References,rights/publicationRights/allowCrossReferences,999,False,False,project,1.1,
